UF,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Rondonia,0.2,0.4,0.7,0.8,1,1.3,2,2.3,2.9,2.9,2.9,3,2.9,4.3,3.3,3.8,3.9,4.3,4.9,4.1
Acre,0.5,0.7,1.2,0,0.2,0.4,1,0.6,1.2,1.3,2.7,1.9,1.7,2.3,2.3,2.6,0.9,1.4,1.6,1.2
Amazonas,0.6,0.7,0.8,1.1,1.8,2.5,3.1,2.3,1.8,2.6,2.2,3.5,3.6,3.7,3.9,4.4,5,5.4,5.9,6.5
Roraima,0.5,1.8,2.7,1.7,2.8,2.3,6.5,2,5,5.6,6.2,5.9,5.5,5,4.5,4.1,5.7,6.5,8.2,8.5
Para,0.5,0.5,0.9,1.5,1.9,2,2.4,2,2,1.8,2.5,3,3.2,3.7,3.7,4.3,4.2,4.9,5.4,5.9
Amapa,0.4,1,0.3,0,0,2.5,1.6,2,0.2,1.6,0.8,1.4,2.1,2.4,1.9,3.2,3.4,2.5,3.3,1.1
Tocantins,0.2,0.2,0.1,0.6,0.6,0.6,1,0.5,1.1,0.7,1.3,1.7,1.7,2.6,1.7,1.8,2,2.1,2.5,2.9
Maranhao,0.6,1.1,0.9,1.1,0.9,1.2,1.3,0.9,1.3,1.3,1.6,2.1,2.2,2.7,2.4,3.4,2.9,3.9,3.9,4.8
Piaui,0.4,0.3,0.7,0.4,1.1,1.2,1.3,1.4,1.1,0.9,1.5,1.6,1.8,1.8,2.1,1.8,2.6,2.5,2.7,3.6
Ceara,0.6,0.9,1.2,1.8,2.1,2.5,2.8,2.3,1.6,1.9,2.3,2,2.7,2.6,2.6,2.5,2.8,3,3.3,3.4
Rio Grande do Norte,0.5,0.7,1,2.4,3,3.7,2.6,1.4,0.9,1.1,1.4,1.7,1.4,1.7,1.2,1.3,1.3,1.3,2.5,2.8
Paraiba,0.8,1.3,1,1.3,2.5,2.3,1.7,1.2,1.5,1.4,1.5,2,1.9,2.7,2.6,2.4,2.7,2.6,2.8,2.6
Pernambuco,1.5,1.6,2.4,2.9,4.5,5.1,5.5,4,4.6,4.1,4.3,4.6,4.9,4.6,4.6,4.8,5.3,5,5,5.9
Alagoas,0.4,0.7,0.4,1.2,1.2,1.5,1.7,1.7,1,0.9,1.5,2.2,2.1,2.1,1.6,2,1.8,2.3,2.5,3.1
Sergipe,0.2,0.4,0.8,1.7,2,3.1,2.2,1.8,1.2,2.2,2.4,2,2,1.5,2.8,2.7,2,2.9,3.4,3.8
Bahia,0.7,1.2,1.4,1.4,1.9,2,2.4,2.3,2.2,2.4,2.5,2.7,2.7,2.8,2.6,2.8,3.1,3.4,3.5,3.5
Minas Gerais,1.3,1.9,2.6,3.3,4.6,5.6,6.4,4.9,4.3,4.8,4.4,4.8,4.4,4.6,4.5,4.2,4.3,4.4,4.3,4.1
Espirito Santo,0.9,1.5,2.5,3,3.9,5.1,5.6,5,5.2,4.3,5.1,4.7,4.6,5.4,6.1,4.8,6,5.5,5.2,6.4
Rio de Janeiro,9.5,11.8,13.7,15.4,17.3,18.7,17.9,14.6,12.4,11.4,11.4,11.3,11.4,11.7,11.7,10,9.9,10.1,10.2,10.8
Sao Paulo,10,13.3,15.6,19.7,21.6,23,21.3,16,13,11.9,11.3,10.5,10.1,9.4,8.4,8.6,7.8,7.5,7.9,7.5
Parana,1.1,1.8,2.6,3.3,4.6,5.3,5.9,4.5,4.3,4.8,4.6,4.9,5.2,5.2,5,5.1,5.4,4.9,5.4,5.1
Santa Catarina,1.8,2.9,3.3,5.2,7.1,7.8,8.6,8.3,8.1,8.8,8.6,8.6,8.8,9.2,8.7,8.6,8,9.1,9.4,10.5
Rio Grande do Sul,2.4,3.3,4.8,7.1,7.6,9.9,10.6,10.1,10.8,10.5,10.4,11.4,12,12.6,12.6,13,12.6,12.7,13.3,13.2
Mato Grosso do Sul,1.9,2.2,3.8,4.4,4.4,6.3,6.3,6.4,5.7,6.2,5.6,5.1,5.3,6.7,5.7,5.7,5.9,6.8,6.8,6.5
Mato Grosso,1.2,0.8,1.1,1.8,2.6,5.9,4.7,5,5.1,5,4.6,5.4,4.9,5.4,5.3,5.2,5.9,7,7.1,6
Goias,0.7,1.9,2,2.6,3,4.6,4.9,3.8,4,3.5,3.7,4,3.4,4.1,3.7,3.4,3.8,4.3,4.3,4.3
Distrito Federal,2.4,5.2,7.3,8.7,11.1,13.5,11.6,8.5,6.7,6.8,6.1,4.5,6.4,5.1,4.9,4.9,4.7,4.1,4.1,4.4
